Common Case Types
Account
Account Closures
Account Management
Cancelled Chat
Casino
Casino Credit
Casino Errors
Casino Payout
Casino Promotions
Compliance Alert
Deposit
Eligibility
FanCash
FanaticsOne
Fraud
Fraud Alert
Free-to-Play Games
Gaming Limits
GeoLocation
KYC
Markets
Merge
Other
Promotions
Refer A Friend
Regulatory Operations
Responsible Gaming
Retail
Routing
Tax / Taxes
Technical Support
VIP
Withdrawal
